"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Waterhouse-Friderichsen syndrome"	"A39.1"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Septicaemia, unspecified"	"A41.9"	7	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Toxic shock syndrome"	"A48.3"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Staphylococcal infection, unspecified"	"A49.0"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Chronic viral hepatitis C"	"B18.2"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"HIV disease resulting in other bacterial infections"	"B20.1"	2	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"HIV disease resulting in unspecified infectious or parasitic disease"	"B20.9"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"HIV disease resulting in multiple malignant neoplasms"	"B21.7"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	2	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"HIV disease resulting in other specified conditions"	"B23.8"	2	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	2	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Other cytomegaloviral diseases"	"B25.8"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Sequelae of unspecified infectious or parasitic disease"	"B94.9"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Malignant neoplasm of rectum"	"C20"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Accessory sinus, unspecified - Malignant neoplasms"	"C31.9"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	3	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	1	1729257	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	3	1729257	Unreliable
