"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	361	1718506	21.007
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	325	1707440	19.034
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	291	1663799	17.490
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	299	1627382	18.373
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	282	1595563	17.674
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	313	1570808	19.926
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	302	1559949	19.360
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	262	1572546	16.661
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	246	1582720	15.543
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	229	1589295	14.409
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	254	1604711	15.828
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	211	1620764	13.019
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	239	1621111	14.743
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	229	1643748	13.932
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	261	1671733	15.613
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	223	1689650	13.198
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	249	1699799	14.649
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	285	1701897	16.746
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	268	1695066	15.811
"Total"	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"			5129	31136487	16.473
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1074	7791071	13.785
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1011	7761309	13.026
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1018	7609266	13.378
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	949	7490388	12.670
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	906	7393303	12.254
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	865	7327932	11.804
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	909	7292989	12.464
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	850	7336464	11.586
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	889	7386143	12.036
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	808	7454942	10.838
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	774	7530796	10.278
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	734	7570407	9.696
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	766	7551757	10.143
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	726	7578019	9.580
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	708	7584006	9.335
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	718	7540584	9.522
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	705	7507662	9.390
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	761	7476535	10.179
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	716	7415657	9.655
"Total"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"			15887	142599230	11.141
"Total"	"5-9 years"	"5-9"	"Female"	"F"					21016	173735717	12.097
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	519	1773681	29.261
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	431	1762577	24.453
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	409	1717976	23.807
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	402	1682240	23.897
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	355	1648461	21.535
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	372	1623808	22.909
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	361	1612244	22.391
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	369	1624718	22.712
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	331	1634478	20.251
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	347	1641641	21.137
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	328	1658293	19.779
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	283	1676649	16.879
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	304	1675485	18.144
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	322	1701225	18.928
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	321	1728420	18.572
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	314	1744545	17.999
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	327	1754398	18.639
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	350	1758660	19.902
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	331	1750654	18.907
"Total"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"			6776	32170153	21.063
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	1376	8211295	16.757
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1348	8179507	16.480
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1232	8020402	15.361
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1219	7893052	15.444
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	1205	7786449	15.476
