"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Salmonella septicaemia"	"A02.1"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Meningococcal meningitis"	"A39.0"	2	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Meningococcaemia, unspecified"	"A39.4"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Septicaemia, unspecified"	"A41.9"	4	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Legionnaires disease"	"A48.1"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Gonococcal infection, unspecified"	"A54.9"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Unspecified viral encephalitis"	"A86"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"HIV disease resulting in other bacterial infections"	"B20.1"	2	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"HIV disease resulting in other specified conditions"	"B23.8"	3	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	3	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Viral carditis"	"B33.2"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Viral infection, unspecified"	"B34.9"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Candidal endocarditis"	"B37.6"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	3	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	2	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Nasal cavity - Malignant neoplasms"	"C30.0"	1	1571778	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2	1571778	Unreliable
