"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"Salmonella enteritis"	"A02.0"	1	1862208	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	1	1862208	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"Meningococcaemia, unspecified"	"A39.4"	1	1862208	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	1	1862208	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"Septicaemia, unspecified"	"A41.9"	6	1862208	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"Unspecified viral encephalitis"	"A86"	1	1862208	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"HIV disease resulting in cytomegaloviral disease"	"B20.2"	1	1862208	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"HIV disease resulting in multiple infections"	"B20.7"	3	1862208	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	2	1862208	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	1	1862208	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	"HIV disease resulting in other specified conditions"	"B23.8"	1	1862208	Unreliable
