"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Mycobacterial infection, unspecified"	"A31.9"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Septicaemia, unspecified"	"A41.9"	7	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Unspecified viral encephalitis"	"A86"	2	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in mycobacterial infection"	"B20.0"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in other mycoses"	"B20.5"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in multiple infections"	"B20.7"	2	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	2	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in other specified conditions"	"B23.8"	2	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	2	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Viral carditis"	"B33.2"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Unspecified mycosis"	"B49"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Pneumocystosis"	"B59"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	2	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	5	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Skin of trunk - Malignant neoplasms"	"C44.5"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	8	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Malignant neoplasm of ovary"	"C56"	2	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Cerebellum - Malignant neoplasms"	"C71.6"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Brain stem - Malignant neoplasms"	"C71.7"	2	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	7	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Malignant neoplasm without specification of site"	"C80"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Hodgkin disease, unspecified"	"C81.9"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Non-Hodgkin lymphoma lymphoblastic (diffuse)"	"C83.5"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Peripheral T-cell lymphoma - Malignant neoplasms"	"C84.4"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	2	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	8	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Acute promyelocytic leukaemia - Malignant neoplasms"	"C92.4"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Acute myelofibrosis - Malignant neoplasms"	"C94.5"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Chronic leukaemia of unspecified cell type - Malignant neoplasms"	"C95.1"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	3	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Ovary - Uncertain neoplasms"	"D39.1"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	4	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Pituitary gland - Uncertain neoplasms"	"D44.3"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	1	1665568	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	"Other thalassaemias"	"D56.8"	1	1665568	Unreliable
