"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Meningococcal meningitis"	"A39.0"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Septicaemia, unspecified"	"A41.9"	4	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Staphylococcal infection, unspecified"	"A49.0"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Other gonococcal infections"	"A54.8"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Acute hepatitis C"	"B17.1"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"HIV disease resulting in other bacterial infections"	"B20.1"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"HIV disease resulting in multiple infections"	"B20.7"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	4	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"HIV disease resulting in other specified conditions"	"B23.8"	4	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	3	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Cytomegaloviral disease, unspecified"	"B25.9"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Infectious mononucleosis, unspecified"	"B27.9"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Zygomycosis, unspecified"	"B46.9"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Other and unspecified infectious diseases"	"B99"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Gum, unspecified - Malignant neoplasms"	"C03.9"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	2	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Long bones of lower limb - Malignant neoplasms"	"C40.2"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	2	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Mesothelioma of other sites - Malignant neoplasms"	"C45.7"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	5	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Malignant neoplasm of ovary"	"C56"	3	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	1	1578608	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	"Brain stem - Malignant neoplasms"	"C71.7"	3	1578608	Unreliable
