"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	1	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"Meningococcal meningitis"	"A39.0"	1	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"Meningococcaemia, unspecified"	"A39.4"	2	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	1	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"Septicaemia, unspecified"	"A41.9"	5	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"Unspecified viral encephalitis"	"A86"	2	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in other bacterial infections"	"B20.1"	1	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in other mycoses"	"B20.5"	1	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	1	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	1	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in multiple malignant neoplasms"	"B21.7"	2	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	2	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"HIV disease resulting in other specified conditions"	"B23.8"	4	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	1	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"Viral carditis"	"B33.2"	1	1716424	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	"Candidal septicaemia"	"B37.7"	1	1716424	Unreliable
