"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Meningococcal meningitis"	"A39.0"	2	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Meningococcaemia, unspecified"	"A39.4"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Septicaemia, unspecified"	"A41.9"	5	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"HIV disease resulting in other viral infections"	"B20.3"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"HIV disease resulting in multiple infections"	"B20.7"	2	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"HIV disease resulting in wasting syndrome"	"B22.2"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"HIV disease resulting in other specified conditions"	"B23.8"	7	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	3	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Other cytomegaloviral diseases"	"B25.8"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Candidiasis of other sites"	"B37.8"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	12	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Connective and soft tissue of upper limb, including shoulder - Malignant neoplasms"	"C49.1"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	3	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	2	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	9	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Optic nerve - Malignant neoplasms"	"C72.3"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	2	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Malignant neoplasm without specification of site"	"C80"	2	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Hodgkin disease, unspecified"	"C81.9"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Non-Hodgkin lymphoma lymphoblastic (diffuse)"	"C83.5"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Burkitt tumor"	"C83.7"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	5	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	8	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	5	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	3	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	1	1838852	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	1	1838852	Unreliable
