"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Meningococcaemia, unspecified"	"A39.4"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Septicaemia due to streptococcus, group B"	"A40.1"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Septicaemia, unspecified"	"A41.9"	6	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"HIV disease resulting in mycobacterial infection"	"B20.0"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"HIV disease resulting in other bacterial infections"	"B20.1"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"HIV disease resulting in other mycoses"	"B20.5"	2	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"HIV disease resulting in multiple infections"	"B20.7"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"HIV disease resulting in other specified conditions"	"B23.8"	2	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Gammaherpesviral mononucleosis"	"B27.0"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Other pulmonary aspergillosis"	"B44.1"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Unspecified mycosis"	"B49"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	3	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Nasal cavity - Malignant neoplasms"	"C30.0"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	5	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Connective and soft tissue of thorax - Malignant neoplasms"	"C49.3"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	4	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	2	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Temporal lobe - Malignant neoplasms"	"C71.2"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Cerebellum - Malignant neoplasms"	"C71.6"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Brain stem - Malignant neoplasms"	"C71.7"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	8	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Abdomen - Malignant neoplasms"	"C76.2"	1	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Malignant neoplasm without specification of site"	"C80"	3	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Burkitt tumor"	"C83.7"	2	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	2	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	3	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	10	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	2	1666650	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	1	1666650	Unreliable
