"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Meningococcal meningitis"	"A39.0"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Meningococcaemia, unspecified"	"A39.4"	3	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Septicaemia, unspecified"	"A41.9"	9	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Unspecified viral encephalitis"	"A86"	2	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Zoster with other nervous system involvement"	"B02.2"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Acute hepatitis B without delta-agent with hepatic coma"	"B16.2"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"HIV disease resulting in other bacterial infections"	"B20.1"	2	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"HIV disease resulting in other mycoses"	"B20.5"	2	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"HIV disease resulting in multiple infections"	"B20.7"	3	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"	"B21.3"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"HIV disease resulting in other specified conditions"	"B23.8"	3	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	5	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Gammaherpesviral mononucleosis"	"B27.0"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Pulmonary candidiasis"	"B37.1"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Blastomycosis, unspecified"	"B40.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Unspecified mycosis"	"B49"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Scapula and long bones of upper limb - Malignant neoplasms"	"C40.0"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	4	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Peripheral nerves and autonomic nervous system, unspecified - Malignant neoplasms"	"C47.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Connective and soft tissue of trunk, unspecified - Malignant neoplasms"	"C49.6"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	7	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Testis, unspecified - Malignant neoplasms"	"C62.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	5	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Eye, unspecified - Malignant neoplasms"	"C69.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Cerebral ventricle - Malignant neoplasms"	"C71.5"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Cerebellum - Malignant neoplasms"	"C71.6"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	3	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Central nervous system, unspecified - Malignant neoplasms"	"C72.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Malignant neoplasm without specification of site"	"C80"	6	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Hodgkin disease, unspecified"	"C81.9"	2	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	9	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	9	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	4	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Chronic leukaemia of unspecified cell type - Malignant neoplasms"	"C95.1"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	1	1608807	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	"Connective and other soft tissue, unspecified - Benign neoplasms"	"D21.9"	1	1608807	Unreliable
