"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Other specified tuberculosis of central nervous system"	"013.8"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Meningococcal meningitis"	"036.0"	3	1460935	0.205 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Meningococcemia"	"036.2"	3	1460935	0.205 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Waterhouse-friderichsen syndrome, meningococcal"	"036.3"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Meningococcal infection, unspecified"	"036.9"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Unspecified septicemia"	"038.9"	4	1460935	0.274 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Subacute sclerosing panencephalitis"	"046.2"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Unspecified non-arthropod-borne viral diseases of central nervous system"	"049.9"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Unspecified viral hepatitis without mention of hepatic coma"	"070.9"	2	1460935	0.137 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Infectious mononucleosis"	"075"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Juvenile neurosyphilis"	"090.4"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Of lung"	"112.4"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Disseminated"	"112.5"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Coccidioidomycosis"	"114"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Blastomycosis"	"116.0"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Cryptococcosis"	"117.5"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Sarcoidosis"	"135"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Pneumocystosis"	"136.3"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Nasopharynx, unspecified"	"147.9"	4	1460935	0.274 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Colon, unspecified"	"153.9"	2	1460935	0.137 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Rectum"	"154.1"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Ethmoidal sinus"	"160.3"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Accessory sinus, unspecified"	"160.9"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Bronchus and lung, unspecified"	"162.9"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Long bones of lower limb"	"170.7"	3	1460935	0.205 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Bone and articular cartilage, site unspecified"	"170.9"	7	1460935	0.479 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Lower limb, including hip"	"171.3"	1	1460935	0.068 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Connective and other soft tissue, site unspecified"	"171.9"	7	1460935	0.479 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	"Kidney, except pelvis"	"189.0"	1	1460935	0.068 (Unreliable)
