"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Meningococcal meningitis"	"036.0"	3	1554952	0.193 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Meningococcemia"	"036.2"	2	1554952	0.129 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Waterhouse-friderichsen syndrome, meningococcal"	"036.3"	1	1554952	0.064 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Meningococcal infection, unspecified"	"036.9"	1	1554952	0.064 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Streptococcal septicemia"	"038.0"	2	1554952	0.129 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Unspecified septicemia"	"038.9"	7	1554952	0.450 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"HTLV-III/LAV infection causing other specified infections"	"042.1"	1	1554952	0.064 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Acquired immunodeficiency syndrome with or without other conditions"	"042.9"	4	1554952	0.257 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Viral hepatitis b without mention of hepatic coma"	"070.3"	1	1554952	0.064 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Unspecified viral hepatitis without mention of hepatic coma"	"070.9"	1	1554952	0.064 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Other and unspecified mycoses"	"117.9"	2	1554952	0.129 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Pneumocystosis"	"136.3"	1	1554952	0.064 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Colon, unspecified"	"153.9"	1	1554952	0.064 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Rectum"	"154.1"	1	1554952	0.064 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Liver, primary"	"155.0"	1	1554952	0.064 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Bronchus and lung, unspecified"	"162.9"	1	1554952	0.064 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Long bones of lower limb"	"170.7"	2	1554952	0.129 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	"Bone and articular cartilage, site unspecified"	"170.9"	8	1554952	0.514 (Unreliable)
