"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Miliary tuberculosis, unspecified"	"018.9"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Meningococcal meningitis"	"036.0"	2	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Staphylococcal septicemia"	"038.1"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Septicemia due to other gram-negative organisms"	"038.4"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Unspecified septicemia"	"038.9"	4	1485022	0.3 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Herpetic meningoencephalitis"	"054.3"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Herpes simplex without mention of complication"	"054.9"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Viral hepatitis a without mention of hepatic coma"	"070.1"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Viral hepatitis b with hepatic coma"	"070.2"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Unspecified viral hepatitis without mention of hepatic coma"	"070.9"	3	1485022	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Late effects of other and unspecified infectious and parasitic diseases"	"139.8"	2	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Nasopharynx, unspecified"	"147.9"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Liver, primary"	"155.0"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Bronchus and lung, unspecified"	"162.9"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Bone and articular cartilage, site unspecified"	"170.9"	3	1485022	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Upper limb, including shoulder"	"171.2"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Pelvis"	"171.6"	1	1485022	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Connective and other soft tissue, site unspecified"	"171.9"	5	1485022	0.3 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Melanoma of skin, site unspecified"	"172.9"	3	1485022	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Ovary"	"183.0"	6	1485022	0.4 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Kidney, except pelvis"	"189.0"	3	1485022	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	"Cerebellum nos"	"191.6"	1	1485022	0.1 (Unreliable)
