"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Meningococcal meningitis"	"036.0"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Meningococcemia"	"036.2"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Streptococcal septicemia"	"038.0"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Unspecified septicemia"	"038.9"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Viral hepatitis b with hepatic coma"	"070.2"	2	1432308	0.140 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Unspecified viral hepatitis with hepatic coma"	"070.6"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Unspecified viral hepatitis without mention of hepatic coma"	"070.9"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Other specified diseases due to viruses and chlamydiae"	"078.8"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Disseminated"	"112.5"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Zygomycosis [phycomycosis or mucormycosis]"	"117.7"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Toxoplasmosis"	"130"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Beh�et's syndrome"	"136.1"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Nasopharynx, unspecified"	"147.9"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Colon, unspecified"	"153.9"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Liver, primary"	"155.0"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Pancreas, part unspecified"	"157.9"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Bronchus and lung, unspecified"	"162.9"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Bone and articular cartilage, site unspecified"	"170.9"	7	1432308	0.489 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Thorax"	"171.4"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Connective and other soft tissue, site unspecified"	"171.9"	4	1432308	0.279 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Melanoma of skin, site unspecified"	"172.9"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Other and unspecified testis"	"186.9"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Kidney, except pelvis"	"189.0"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Cerebrum, except lobes and ventricles"	"191.0"	2	1432308	0.140 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Brain stem"	"191.7"	2	1432308	0.140 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Brain, unspecified"	"191.9"	3	1432308	0.209 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Other"	"199.1"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Reticulosarcoma"	"200.0"	1	1432308	0.070 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	"Lymphosarcoma"	"200.1"	2	1432308	0.140 (Unreliable)
