"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Pulmonary tuberculosis, unspecified"	"011.9"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Streptococcal sore throat"	"034.0"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Meningococcal meningitis"	"036.0"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Meningococcemia"	"036.2"	3	1488901	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Waterhouse-friderichsen syndrome, meningococcal"	"036.3"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Meningococcal infection, unspecified"	"036.9"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Staphylococcal septicemia"	"038.1"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Septicemia due to other gram-negative organisms"	"038.4"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Unspecified septicemia"	"038.9"	2	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"HTLV-III/LAV infection with specified infections"	"042.0"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"HTLV-III/LAV infection causing other specified infections"	"042.1"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"HTLV-III/LAV infection with specified malignant neoplasms"	"042.2"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Acquired immunodeficiency syndrome with or without other conditions"	"042.9"	9	1488901	0.6 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Lymphocytic choriomeningitis"	"049.0"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Herpetic meningoencephalitis"	"054.3"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Other specified viral and chlamydial infections"	"079.8"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Coccidioidomycosis"	"114"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Sarcoidosis"	"135"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Nasopharynx, unspecified"	"147.9"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Stomach, unspecified"	"151.9"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Liver, primary"	"155.0"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Thymus"	"164.0"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Pelvic bones, sacrum, and coccyx"	"170.6"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Bone and articular cartilage, site unspecified"	"170.9"	11	1488901	0.7 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Abdomen"	"171.5"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Connective and other soft tissue, site unspecified"	"171.9"	5	1488901	0.3 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Bladder, part unspecified"	"188.9"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Kidney, except pelvis"	"189.0"	2	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Cerebellum nos"	"191.6"	2	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Brain stem"	"191.7"	2	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Brain, unspecified"	"191.9"	3	1488901	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Cerebral meninges"	"192.1"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Spinal cord"	"192.2"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Nervous system, part unspecified"	"192.9"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Adrenal gland"	"194.0"	3	1488901	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Pineal gland"	"194.4"	1	1488901	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	"Abdomen"	"195.2"	1	1488901	0.1 (Unreliable)
