"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Meningococcemia"	"036.2"	3	1350929	0.222 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Waterhouse-friderichsen syndrome, meningococcal"	"036.3"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Unspecified septicemia"	"038.9"	6	1350929	0.444 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"HTLV-III/LAV infection with specified infections"	"042.0"	3	1350929	0.222 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"HTLV-III/LAV infection causing other specified infections"	"042.1"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Acquired immunodeficiency syndrome with or without other conditions"	"042.9"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Unspecified viral meningitis"	"047.9"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Unspecified non-arthropod-borne viral diseases of central nervous system"	"049.9"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Chickenpox"	"052"	2	1350929	0.148 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Herpetic meningoencephalitis"	"054.3"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Viral hepatitis a without mention of hepatic coma"	"070.1"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Cytomegaloviral disease"	"078.5"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Unspecified viral and chlamydial infections"	"079.9"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Of lung"	"112.4"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Disseminated"	"112.5"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Aspergillosis"	"117.3"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Pharynx, unspecified"	"149.0"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Colon, unspecified"	"153.9"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Liver, primary"	"155.0"	2	1350929	0.148 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Extrahepatic bile ducts"	"156.1"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Maxillary sinus"	"160.2"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Bronchus and lung, unspecified"	"162.9"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Bones of skull and face, except mandible"	"170.0"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Pelvic bones, sacrum, and coccyx"	"170.6"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Long bones of lower limb"	"170.7"	2	1350929	0.148 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Bone and articular cartilage, site unspecified"	"170.9"	4	1350929	0.296 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Upper limb, including shoulder"	"171.2"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Connective and other soft tissue, site unspecified"	"171.9"	3	1350929	0.222 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Malignant neoplasm of placenta"	"181"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Ventricles"	"191.5"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Cerebellum nos"	"191.6"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Brain stem"	"191.7"	1	1350929	0.074 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Brain, unspecified"	"191.9"	3	1350929	0.222 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Other"	"199.1"	3	1350929	0.222 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Hodgkin's disease, unspecified"	"201.9"	2	1350929	0.148 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Other lymphomas"	"202.8"	2	1350929	0.148 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Acute"	"204.0"	6	1350929	0.444 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Acute"	"205.0"	7	1350929	0.518 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Chronic"	"205.1"	2	1350929	0.148 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	"Acute"	"208.0"	2	1350929	0.148 (Unreliable)
