"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Tuberculous pneumothorax"	"011.7"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Pulmonary tuberculosis, unspecified"	"011.9"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Meningococcal meningitis"	"036.0"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Waterhouse-friderichsen syndrome, meningococcal"	"036.3"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Unspecified septicemia"	"038.9"	2	1369387	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Other specified bacterial diseases"	"040.8"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"HTLV-III/LAV infection with specified infections"	"042.0"	2	1369387	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"HTLV-III/LAV infection causing other specified infections"	"042.1"	4	1369387	0.292 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Acquired immunodeficiency syndrome with or without other conditions"	"042.9"	16	1369387	1.168 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Chickenpox"	"052"	2	1369387	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Viral hepatitis a without mention of hepatic coma"	"070.1"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Viral hepatitis b with hepatic coma"	"070.2"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Unspecified viral and chlamydial infections"	"079.9"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Disseminated"	"112.5"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Coccidioidomycosis"	"114"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Cryptococcosis"	"117.5"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Zygomycosis [phycomycosis or mucormycosis]"	"117.7"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Late effects of viral encephalitis"	"139.0"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Gum, unspecified"	"143.9"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Bronchus and lung, unspecified"	"162.9"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Bone and articular cartilage, site unspecified"	"170.9"	4	1369387	0.292 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Connective and other soft tissue, site unspecified"	"171.9"	6	1369387	0.438 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Melanoma of skin, site unspecified"	"172.9"	1	1369387	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Malignant neoplasm of placenta"	"181"	2	1369387	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	"Ovary"	"183.0"	3	1369387	0.219 (Unreliable)
