"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Meningococcal meningitis"	"036.0"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Waterhouse-friderichsen syndrome, meningococcal"	"036.3"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Septicemia due to other gram-negative organisms"	"038.4"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Other specified septicemias"	"038.8"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Unspecified septicemia"	"038.9"	5	1415543	0.353 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"HTLV-III/LAV infection with specified infections"	"042.0"	6	1415543	0.424 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"HTLV-III/LAV infection causing other specified infections"	"042.1"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"HTLV-III/LAV infection with specified malignant neoplasms"	"042.2"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Acquired immunodeficiency syndrome with or without other conditions"	"042.9"	8	1415543	0.565 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"HTLV-III/LAV infection causing other specified conditions"	"043.3"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Herpetic septicemia"	"054.5"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Viral hepatitis b without mention of hepatic coma"	"070.3"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Cytomegaloviral disease"	"078.5"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Disseminated"	"112.5"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Toxoplasmosis"	"130"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Unspecified infectious and parasitic diseases"	"136.9"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Cecum"	"153.4"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Colon, unspecified"	"153.9"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Bronchus and lung, unspecified"	"162.9"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Pelvic bones, sacrum, and coccyx"	"170.6"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Bone and articular cartilage, site unspecified"	"170.9"	3	1415543	0.212 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Connective and other soft tissue, site unspecified"	"171.9"	5	1415543	0.353 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Cervix uteri, unspecified"	"180.9"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Kidney, except pelvis"	"189.0"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Cerebrum, except lobes and ventricles"	"191.0"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Cerebellum nos"	"191.6"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Brain, unspecified"	"191.9"	5	1415543	0.353 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Adrenal gland"	"194.0"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Pineal gland"	"194.4"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Other"	"199.1"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Hodgkin's disease, unspecified"	"201.9"	6	1415543	0.424 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Other lymphomas"	"202.8"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Acute"	"204.0"	8	1415543	0.565 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Acute"	"205.0"	5	1415543	0.353 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Chronic"	"205.1"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Pituitary gland and craniopharyngeal duct"	"237.0"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Other lymphatic and hematopoietic tissues"	"238.7"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Brain"	"239.6"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Endocrine glands and other parts of nervous system"	"239.7"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Thyrotoxicosis without mention of goiter or other cause"	"242.9"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Diabetes mellitus without mention of complication"	"250.0"	4	1415543	0.283 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Diabetes with ketoacidosis"	"250.1"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Corticoadrenal insufficiency"	"255.4"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Acidosis"	"276.2"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Cystic fibrosis"	"277.0"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Mucopolysaccharidosis"	"277.5"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Obesity"	"278.0"	4	1415543	0.283 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Autoimmune disease, not elsewhere classified"	"279.4"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Thalassemias"	"282.4"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Sickle-cell anemia"	"282.6"	17	1415543	1.201 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Autoimmune hemolytic anemias"	"283.0"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Aplastic anemia, unspecified"	"284.9"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Defibrination syndrome"	"286.6"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Thrombocytopenia, unspecified"	"287.5"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Unspecified mental retardation"	"319"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Meningitis due to unspecified bacterium"	"320.9"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Obstructive hydrocephalus"	"331.4"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Other cerebral degeneration"	"331.8"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Infantile cerebral palsy, unspecified"	"343.9"	11	1415543	0.777 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Quadriplegia and quadriparesis"	"344.0"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Grand mal status"	"345.3"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Other forms of epilepsy"	"345.8"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Epilepsy, unspecified"	"345.9"	3	1415543	0.212 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Congenital hereditary muscular dystrophy"	"359.0"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Acute rheumatic pericarditis"	"391.0"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Other and unspecified mitral valve diseases"	"394.9"	3	1415543	0.212 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Unspecified"	"402.9"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Acute myocardial infarction"	"410"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Pulmonary embolism and infarction"	"415.1"	6	1415543	0.424 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Primary pulmonary hypertension"	"416.0"	3	1415543	0.212 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Other and unspecified acute myocarditis"	"422.9"	3	1415543	0.212 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Aortic valve disorders"	"424.1"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Endocardial fibroelastosis"	"425.3"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Other primary cardiomyopathies"	"425.4"	14	1415543	0.989 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Ventricular fibrillation and flutter"	"427.4"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Cardiac arrest"	"427.5"	3	1415543	0.212 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Cardiac dysrhythmia, unspecified"	"427.9"	5	1415543	0.353 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Congestive heart failure"	"428.0"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Myocarditis, unspecified"	"429.0"	6	1415543	0.424 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Cardiovascular disease, unspecified"	"429.2"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Cardiomegaly"	"429.3"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Other ill-defined heart diseases"	"429.8"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Heart disease, unspecified"	"429.9"	2	1415543	0.141 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Intracerebral hemorrhage"	"431"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Unspecified intracranial hemorrhage"	"432.9"	1	1415543	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	"Acute, but ill-defined, cerebrovascular disease"	"436"	1	1415543	0.071 (Unreliable)
