"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Miliary tuberculosis, unspecified"	"018.9"	2	1403667	0.142 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Unspecified diseases due to mycobacteria"	"031.9"	1	1403667	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Meningococcal meningitis"	"036.0"	1	1403667	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Meningococcemia"	"036.2"	4	1403667	0.285 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Streptococcal septicemia"	"038.0"	1	1403667	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Unspecified septicemia"	"038.9"	2	1403667	0.142 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Other specified bacterial diseases"	"040.8"	1	1403667	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Staphylococcus"	"041.1"	1	1403667	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Viral hepatitis b without mention of hepatic coma"	"070.3"	2	1403667	0.142 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Unspecified viral hepatitis without mention of hepatic coma"	"070.9"	2	1403667	0.142 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Histoplasmosis, unspecified"	"115.9"	1	1403667	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Other and unspecified mycoses"	"117.9"	1	1403667	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Pneumocystosis"	"136.3"	1	1403667	0.071 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	"Nasopharynx, unspecified"	"147.9"	1	1403667	0.071 (Unreliable)
