"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Tuberculous pneumonia [any form]"	"011.6"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Pulmonary tuberculosis, unspecified"	"011.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Vertebral column"	"015.0"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Pulmonary"	"031.0"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Meningococcal meningitis"	"036.0"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Staphylococcal septicemia"	"038.1"	3	1373503	0.218 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Pneumococcal septicemia [streptococcus pneumoniae septicemia]"	"038.2"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Unspecified septicemia"	"038.9"	7	1373503	0.510 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Other specified bacterial diseases"	"040.8"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"HTLV-III/LAV infection with specified infections"	"042.0"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Acquired immunodeficiency syndrome with or without other conditions"	"042.9"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Herpetic meningoencephalitis"	"054.3"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Viral hepatitis b without mention of hepatic coma"	"070.3"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Unspecified viral hepatitis without mention of hepatic coma"	"070.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Unspecified viral and chlamydial infections"	"079.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Aspergillosis"	"117.3"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Unspecified infectious and parasitic diseases"	"136.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Descending colon"	"153.2"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Colon, unspecified"	"153.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Liver, primary"	"155.0"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Pelvic bones, sacrum, and coccyx"	"170.6"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Short bones of lower limb"	"170.8"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Bone and articular cartilage, site unspecified"	"170.9"	6	1373503	0.437 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Lower limb, including hip"	"171.3"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Connective and other soft tissue, site unspecified"	"171.9"	6	1373503	0.437 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Breast (female), unspecified"	"174.9"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Bladder, part unspecified"	"188.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Kidney, except pelvis"	"189.0"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Cerebellum nos"	"191.6"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Brain, unspecified"	"191.9"	5	1373503	0.364 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Adrenal gland"	"194.0"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Disseminated"	"199.0"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Other"	"199.1"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Other named variants"	"200.8"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Hodgkin's disease, unspecified"	"201.9"	5	1373503	0.364 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Other lymphomas"	"202.8"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Acute"	"204.0"	6	1373503	0.437 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Acute"	"205.0"	5	1373503	0.364 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Chronic"	"205.1"	3	1373503	0.218 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Acute"	"208.0"	3	1373503	0.218 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Unspecified leukemia"	"208.9"	4	1373503	0.291 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Brain"	"239.6"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Diabetes mellitus without mention of complication"	"250.0"	3	1373503	0.218 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Diabetes with hyperosmolarity"	"250.2"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Panhypopituitarism"	"253.2"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Acidosis"	"276.2"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Cystic fibrosis"	"277.0"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Thalassemias"	"282.4"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Sickle-cell trait"	"282.5"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Sickle-cell anemia"	"282.6"	11	1373503	0.801 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Aplastic anemia, unspecified"	"284.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Thrombocytopenia, unspecified"	"287.5"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Alcohol dependence syndrome"	"303"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Other, mixed, or unspecified drug abuse"	"305.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Profound mental retardation"	"318.2"	3	1373503	0.218 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Unspecified mental retardation"	"319"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Pneumococcal meningitis"	"320.1"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Meningitis due to unspecified bacterium"	"320.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Meningitis, unspecified"	"322.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Unspecified cause of encephalitis"	"323.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Phlebitis and thrombophlebitis of intracranial venous sinuses"	"325"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Late effects of intracranial abscess or pyogenic infection"	"326"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Obstructive hydrocephalus"	"331.4"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Other degenerative diseases of the basal ganglia"	"333.0"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Multiple sclerosis"	"340"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Quadriplegic"	"343.2"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Infantile cerebral palsy, unspecified"	"343.9"	7	1373503	0.510 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Quadriplegia and quadriparesis"	"344.0"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Generalized convulsive epilepsy"	"345.1"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Encephalopathy, unspecified"	"348.3"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Unspecified condition of brain"	"348.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Diseases of mitral and aortic valves"	"396"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Acute myocardial infarction"	"410"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Chronic ischemic heart disease, unspecified"	"414.9"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Pulmonary embolism and infarction"	"415.1"	8	1373503	0.582 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Primary pulmonary hypertension"	"416.0"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Acute and subacute bacterial endocarditis"	"421.0"	1	1373503	0.073 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Aortic valve disorders"	"424.1"	2	1373503	0.146 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	"Endocarditis, valve unspecified"	"424.9"	1	1373503	0.073 (Unreliable)
